county,cases
Alameda,5741871
Alpine,4436
Amador,150719
Butte,716705
Calaveras,99176
Colusa,137952
Contra Costa,4404405
Del Norte,60553
El Dorado,454325
Fresno,7155038
Glenn,156167
Humboldt,164986
Kings,1938080
Lake,164507
Lassen,341493
Madera,1123109
Marin,1496230
Mariposa,24917
Mendocino,254712
Merced,2165205
Modoc,15160
Mono,77734
Monterey,2760316
Napa,542279
Nevada,216316
Placer,1207126
Plumas,29297
Sacramento,6411340
San Benito,364471
San Francisco,2913566
San Joaquin,5054257
San Mateo,2764532
Santa Clara,6628778
Santa Cruz,790971
Shasta,616939
Sierra,2315
Siskiyou,89763
Solano,1914021
Sonoma,2039107
Stanislaus,4207577
Sutter,558182
Tehama,245580
Trinity,16473
Tulare,4011159
Tuolumne,176392
Yolo,831041
Yuba,355426
