fips,cases
6001.0,5741871
6003.0,4436
6005.0,150719
6007.0,716705
6009.0,99176
6011.0,137952
6013.0,4404405
6015.0,60553
6017.0,454325
6019.0,7155038
6021.0,156167
6023.0,164986
6031.0,1938080
6033.0,164507
6035.0,341493
6039.0,1123109
6041.0,1496230
6043.0,24917
6045.0,254712
6047.0,2165205
6049.0,15160
6051.0,77734
6053.0,2760316
6055.0,542279
6057.0,216316
6061.0,1207126
6063.0,29297
6067.0,6411340
6069.0,364471
6075.0,2913566
6077.0,5054257
6081.0,2764532
6085.0,6628778
6087.0,790971
6089.0,616939
6091.0,2315
6093.0,89763
6095.0,1914021
6097.0,2039107
6099.0,4207577
6101.0,558182
6103.0,245580
6105.0,16473
6107.0,4011159
6109.0,176392
6113.0,831041
6115.0,355426
